product name,bundle flag,no of units,total price,unit price
Ultimate Cream Soda Sampler - Premium Cream Soda Variety Mix Case - Gourmet Sodas from All Around the Country - 12oz (12-Pack),1,12,49.95,4.1625000000000005
Mountain Dew Major Melon Watermelon Flavor Soda Soft Drink - 2 Cases (24 Cans),1,24,29.75,1.2395833333333333
Coca Cola Original Classic Coke Soda Mini Cans Soft Drink - 30 Pck (7.5 fl oz),1,unknown,20.79,unknown
SUMOL Fruit de La Passion Can Soda 12 Pack / Passion Fruit Soft Drink Can 12 Pack.,1,12,21.99,1.8324999999999998
"Diet Coke, 12 fl oz, 24 Pack (Package May Vary)",1,24,nan,
"Coca-Cola Drink Cans, 12 Fl. Oz. (Pack Of 35)",1,35,31.40,0.8971428571428571
"Orange Vanilla Coke Coca-Cola Soda Drink, 20oz Bottles (Pack of 12, Total of 240 Fl OZ)",1,12,33.39,2.7825
"Soda Variety Pack (12 Cans) Bundle of Coke, Pepsi Cola, Dr Pepper, Mountain Dew, Sprite and Canada Dry Ginger Ale Soft Drinks, Mini Fridge Organizer Can Restock Kit",1,12,19.99,1.6658333333333333
"OLIPOP - Classic Root Beer Sparkling Tonic, Healthy Soda, Prebiotic Soft Drink, Aids Digestive Health, Contains Prebiotics & 9g of Plant Fiber, Caffeine Free, Low Calorie, Low Sugar (12 oz, 12-Pack)",1,12,36.99,3.0825
"Mountain Dew Soda, 7.5 Ounce Mini Cans, 10 Pack",1,10,4.57,0.457
"STUBBORN SODA Cans, (Pack of 12) Classic Root Beer 144 Fl Oz",1,12,37.23,3.1024999999999996
"Faygo Rock & Rye flavored cream cola soda, made with 100% cane sugar, 12-fl. oz., 6-pack",1,6,23.99,3.998333333333333
"Big Red Soda Soft Drink, 20-Ounce (Pack of 24)",1,24,42.49,1.7704166666666667
"Coke Zero Sugar Cola Soda, 16.9 oz, 6 Pack (Package May Vary)",1,6,nan,
"SodaStream Diet Energy, 440ml 4-Pack",1,4,19.96,4.99
"IZZE Sparkling Juice, Clementine, 12 Fl Oz (pack of 4)",1,4,nan,
"Kimura Ramune Japanese Marble Soft Drink, Lychee, 6.76 Ounce",0,1,2.06,2.06
"Virgil's, Root Beer, 12 Fl Oz each (pack of 4)",1,4,nan,
Nehi Grape Soda 12oz-long neck bottle,0,1,4.99,4.99
"Calpico Soft Drink, Peach, 50.67-Ounce (Pack of 2)",1,2,12.30,6.15
"Green Soft Drinks Variety pack â€“ Five different variants with No added Sugar, Naturally Sweetened with 100% Stevia Leaf Extract, Carbonated Soda with real juice â€“ Pack of 6 cans",1,6,9.99,1.665
"Pepsi Soda Variety Pack, Pepsi/Wild Cherry Pepsi/Sierra Mist, 12 fl Oz. cans (Pack of 18)",1,18,29.99,1.666111111111111
